author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim,is_subjective,sent_score_avg,sent_label_avg,sentiment_score,sentiment_label,is_subjective_post,is_satire_humor_simple,person_view,person_view_encoded
jisooo._kim_,2025年04月27日 14:50,,5小時,Sunkissed ☀️,False,False,593,14,4,1,11000,30084,https://www.threads.net/@jisooo._kim_/post/DI8Mj_Zvh_o,2025年04月27日 14:50,☀,1,en,2025-04-27 14:50:00,Sunday,14,1,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
kuroshio_1069,2025年04月27日 14:14,kuroshio_1069,5小時,台灣看盜版的能力名揚國際 但到底為什麼台灣那麼愛盜版？ #台灣,False,False,0,0,0,0,0,0,https://www.threads.net/@kuroshio_1069/post/DI8IhSTS_gI,2025年04月27日 14:14,,0,Ch,2025-04-27 14:14:00,Sunday,14,0,True,False,True,0.483905613422394,neutral,0.19197842478752136,negative,True,False,none,4
vincent19801201,2025年04月27日 05:28,,14小時,經常在餐廳或是街邊遇到政治人物握手🤝！ 但是，威廉是我遇過最親切的 簡單問我跟老婆來吃飯？ 這麼漂亮的！怎麼還不結婚？ 那感覺真的關心你的問候…. 我很高興台灣現在的總統是他 大罷免 大成功,False,False,5330,68,52,10,51000,71,https://www.threads.net/@vincent19801201/post/DI7MSCmTqGG,2025年04月27日 05:28,🤝,1,Ch,2025-04-27 05:28:00,Sunday,5,1,True,True,True,0.78498255610466,positive,0.915227472782135,positive,True,True,mixed,3
kkk_748_,2025年04月26日 20:58,kkk_748_,23小時,我現在除了ChatGPT就沒有其他的傾訴對象了。。。,False,False,3,6,0,1,0,0,https://www.threads.net/@kkk_748_/post/DI6R-5ryDEq,2025年04月26日 20:58,,0,Ch,2025-04-26 20:58:00,Saturday,20,0,False,False,True,0.0998048186302185,negative,0.14217406511306763,negative,True,True,mixed,3
btjk.tk,2025年04月27日 19:03,,1小時,ZELENSKY FOR THE NOBEL PRIZE! TNA,False,False,111,0,1,0,1135,5322,https://www.threads.net/@btjk.tk/post/DI8pmpeC1QW,2025年04月27日 19:03,,0,sk,2025-04-27 19:03:00,Sunday,19,0,False,True,False,0.5,neutral,0.5,neutral,False,False,none,4
innerme1314,2025年04月27日 19:14,,50分鐘,蝦皮賣場 大家都會用到嗎？？ （好奇有多少人完全沒用過）,False,False,0,0,0,0,32,0,https://www.threads.net/@innerme1314/post/DI8qznkJENR,2025年04月27日 19:14,,0,Ch,2025-04-27 19:14:00,Sunday,19,0,True,False,True,0.168537169694901,negative,0.09166377782821655,negative,True,False,none,4
_7czjny,2025年04月27日 12:11,_7czjny,7小時,你說你討厭被騙 但你騙我的時候也沒心軟,False,False,2,0,0,0,0,44,https://www.threads.net/@_7czjny/post/DI76bJVS5X_,2025年04月27日 12:11,,0,Ch,2025-04-27 12:11:00,Sunday,12,0,False,False,True,0.0373126268386841,negative,0.027628690004348755,negative,True,False,mixed,3
btjk.tk,2025年04月27日 17:18,,2小時,WHO WANTS TO SEE UKRAINE WIN?????????,False,False,166,2,3,2,2057,5322,https://www.threads.net/@btjk.tk/post/DI8djFTiv7g,2025年04月27日 17:18,,0,en,2025-04-27 17:18:00,Sunday,17,0,True,False,False,0.5,neutral,0.5,neutral,False,True,none,4
izzzz7_,2025年04月27日 18:41,,1小時,笑死 在我睡覺的時候去跟前女友打遊戲😂😂😂,False,False,0,0,0,0,143,1,https://www.threads.net/@izzzz7_/post/DI8nAXrSKwK,2025年04月27日 18:41,😂😂😂,3,Ch,2025-04-27 18:41:00,Sunday,18,0,False,False,True,0.795731657147408,positive,0.8081425720453261,positive,True,True,1st,0
ixauyo_,2025年04月27日 12:46,,7小時,人都有一個通病 和愛的人吵架 和陌生人說心裡話,False,False,0,0,0,0,71,0,https://www.threads.net/@ixauyo_/post/DI7-eTFPhva,2025年04月27日 12:46,,0,Ch,2025-04-27 12:46:00,Sunday,12,0,False,False,True,0.958704084157944,positive,0.9322609305381775,positive,True,False,none,4
ev.elynn5585,2025年04月27日 13:17,,6小時,喜欢f1的女孩子们可以跟我交朋友咩！我基本无雷。cp也接受良好！,False,False,0,0,0,0,65,1,https://www.threads.net/@ev.elynn5585/post/DI8B7NEvg0f,2025年04月27日 13:17,,0,Ch,2025-04-27 13:17:00,Sunday,13,0,False,True,True,0.675955653190613,positive,0.9887059330940247,positive,True,True,1st,0
cssfsd1234,2025年04月27日 18:34,cssfsd1234,1小時,最近在網路上看 信安保經 好像不錯，有點想了解他們家的制度～～,False,False,2,2,0,0,174,69,https://www.threads.net/@cssfsd1234/post/DI8mSNZh6sD,2025年04月27日 18:34,,0,Ch,2025-04-27 18:34:00,Sunday,18,0,False,False,True,0.994162023067474,positive,0.9944039881229401,positive,True,False,3rd,2
dannykpolitics,2025年04月27日 18:42,,1小時,BREAKING: Apparent terrorist attack in Vancouver kills several during Filipino festival,False,False,176,35,4,3,56000,5874,https://www.threads.net/@dannykpolitics/post/DI8nNUROg3i,2025年04月27日 18:42,,0,en,2025-04-27 18:42:00,Sunday,18,1,False,False,False,0.5,neutral,0.5,neutral,False,False,none,4
takayuki96takayuki,2025年04月27日 19:27,,40分鐘,@maakun_real__いつも見てます！TikTokもフォローしてます。エアフォース大好きです。,False,False,0,0,0,0,15,38,https://www.threads.net/@takayuki96takayuki/post/DI8sQ_bysXA,2025年04月27日 19:27,,0,ja,2025-04-27 19:27:00,Sunday,19,0,False,True,True,0.5,neutral,0.5,neutral,False,False,none,4
namesickkk,2025年04月27日 01:38,,18小時,声音也不好听，长得也一般，也不会社交聊天。。。发发脆得了,False,False,14,1,0,0,974,26,https://www.threads.net/@namesickkk/post/DI6yA2oSQK7,2025年04月27日 01:38,,0,Ch,2025-04-27 01:38:00,Sunday,1,0,False,False,True,0.0562481582164764,negative,0.0567358136177063,negative,True,True,none,4
1dgetoutoft1,2025年04月27日 18:42,1dgetoutoft1,1小時,電競優越粉連數學都不太好呢 第八名出局前面不是七個是什麼？ 還想tag朋友一起來丟人現眼😍,False,False,0,12,0,2,1474,0,https://www.threads.net/@1dgetoutoft1/post/DI8nNHUPrsP,2025年04月27日 18:42,😍,1,Ch,2025-04-27 18:42:00,Sunday,18,0,True,False,True,0.27604335308075,negative,0.3184820425510407,negative,True,False,none,4
