author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim,is_subjective,sent_score_avg,sent_label_avg,sentiment_score,sentiment_label,is_subjective_post,is_satire_humor_simple,person_view,person_view_encoded
hiiamsn,2025年04月28日 16:50,,2小時,厚厚看到別人在港館坐區被擋滿的視野我6/20可能完蛋了 而且號碼超大感覺會超級偏 但還是要去 真的有那麼愛嗎 可能有,False,False,0,1,0,0,138,85,https://www.threads.net/@hiiamsn/post/DI-_J82TDXx,2025年04月28日 16:50,,0,Ch,2025-04-28 16:50:00,Monday,16,0,False,False,True,0.937738329172134,positive,0.819,positive,True,False,1st,0
klosetsai,2025年04月27日 17:41,,2小時,今天的T1是黔驢技窮還是昏招頻出階段啊，打得好醜...,False,False,0,0,0,0,3462,185,https://www.threads.net/@klosetsai/post/DI8gL4zBNKR,2025年04月27日 17:41,,0,Ch,2025-04-27 17:41:00,Sunday,17,0,False,False,True,0.171864122152329,negative,0.833,positive,True,False,none,4
tony530119,2025年04月27日 18:28,,1小時,請問廣大的脆友，有神人可以告知這首音樂的名稱嗎？ 感謝您,False,False,1,0,0,0,4594,20,https://www.threads.net/@tony530119/post/DI8liOMBVSP,2025年04月27日 18:28,,0,Ch,2025-04-27 18:28:00,Sunday,18,0,True,False,False,0.509120479226112,neutral,0.8171,positive,False,False,none,4
sirblcak,2025年04月27日 20:16,,37分鐘,Dating tip: Just pretend you're interested.,False,False,9,2,0,0,4635,78,https://www.threads.net/@sirblcak/post/DI8x-LVtmXC,2025年04月27日 20:16,,0,Ch,2025-04-27 20:16:00,Sunday,20,0,False,False,False,0.5,neutral,0.8289,positive,True,False,none,4
he_ojung,2025年04月27日 19:11,,23小時,昨天一擊唱完結束主持人來結尾 然後我前面有兩個直接離場 他們一定超後悔吧,False,False,4,0,0,0,1209,928,https://www.threads.net/@he_ojung/post/DI8qhL2zRMB,2025年04月27日 19:11,,0,Ch,2025-04-27 19:11:00,Sunday,19,0,False,False,True,0.246243059635162,negative,0.7558,negative,True,False,mixed,3
realtalkkim,2025年04月29日 04:04,,11小時,STORMS ARE NOT YOUR END THEY ARE YOUR ANNOUNCEMENT.,False,False,1082,29,74,7,20000,312911,https://www.threads.net/@realtalkkim/post/DJAMR-nxDeC,2025年04月29日 04:04,,0,Ch,2025-04-29 04:04:00,Tuesday,4,1,False,False,False,0.5,neutral,0.8106,positive,True,False,3rd,2
zjyijzy,2025年04月27日 23:01,,19小時,現在整個人一半在林口一半在大巨蛋 非常幸福,False,False,36,0,0,1,1154,183,https://www.threads.net/@zjyijzy/post/DI9EwRph1PN,2025年04月27日 23:01,,0,Ch,2025-04-27 23:01:00,Sunday,23,0,False,False,False,0.984775424003601,positive,0.9821,positive,False,False,none,4
smith_jhon28740,2025年04月29日 02:46,commented on your photo just now,13小時,Love your eyes 😍,False,False,97,21,0,0,1840,8331,https://www.threads.net/@smith_jhon28740/post/DJADYOOo3iS,2025年04月29日 02:46,😍,1,Ch,2025-04-29 02:46:00,Tuesday,2,0,False,False,False,0.62,neutral,1.0,positive,True,False,none,4
lxllyle,2025年04月29日 09:01,,7小時,"I have so much work to do, I can’t afford to fck up",False,False,5,0,1,0,494,1848,https://www.threads.net/@lxllyle/post/DJAuUGktjx-,2025年04月29日 09:01,,0,Ch,2025-04-29 09:01:00,Tuesday,9,0,False,False,False,0.5,neutral,0.7744,negative,False,False,1st,0
carmcliff,2025年04月29日 04:46,Vote,11小時,"Don't fuck this up, Canada. You know the assignment. ✌🏻🇨🇦",False,False,135,0,1,0,5158,131,https://www.threads.net/@carmcliff/post/DJARB6pT4iJ,2025年04月29日 04:46,✌🏻,2,Ch,2025-04-29 04:46:00,Tuesday,4,0,False,False,False,0.5,neutral,0.755,negative,True,False,2nd,1
owo_neocity,2025年04月27日 22:30,,21小時,在成員講話的時候大叫真的很沒禮貌 不管你是哪國人 要叫的時候就只有他們叫你叫 還有應援的時候 其他的時候請閉嘴 成員們的發言真的都沒有很長 不會超過一首歌的時間 如果連這樣都忍不了 真的很沒自制力,False,False,155,9,3,1,2272,96,https://www.threads.net/@owo_neocity/post/DI9BOQnTjx4,2025年04月27日 22:30,,0,Ch,2025-04-27 22:30:00,Sunday,22,0,False,False,True,0.136926651000977,negative,0.9333,positive,True,False,mixed,3
emili_amarlin,2025年04月27日 14:20,,6小時,"Jesus, I need you.",False,False,12,2,0,0,525,671,https://www.threads.net/@emili_amarlin/post/DI8JLbiKkpw,2025年04月27日 14:20,,0,Ch,2025-04-27 14:20:00,Sunday,14,0,False,False,False,0.5,neutral,0.8195,positive,True,False,1st,0
hong.1207_,2025年04月27日 20:53,統測,1小時,考完比考前還焦慮,False,False,0,0,0,0,399,42,https://www.threads.net/@hong.1207_/post/DI82Kc_TIDc,2025年04月27日 20:53,,0,Ch,2025-04-27 20:53:00,Sunday,20,0,False,False,False,0.924669206142426,positive,0.8648,positive,False,False,none,4
1dgetoutoft1,2025年04月27日 18:42,1dgetoutoft1,1小時,電競優越粉連數學都不太好呢 第八名出局前面不是七個是什麼？ 還想tag朋友一起來丟人現眼😍,False,False,0,12,0,2,1474,0,https://www.threads.net/@1dgetoutoft1/post/DI8nNHUPrsP,2025年04月27日 18:42,😍,1,Ch,2025-04-27 18:42:00,Sunday,18,0,True,False,True,0.27604335308075,negative,1.0,positive,True,False,none,4
bibibobixrr,2025年04月28日 08:11,,11小時,好想拥有一颗不假思索的心啊,False,False,6,0,0,0,214,291,https://www.threads.net/@bibibobixrr/post/DI-Dxi5zvY4,2025年04月28日 08:11,,0,Ch,2025-04-28 08:11:00,Monday,8,0,False,False,True,0.986635506153107,positive,0.9866,positive,True,False,none,4
babygirlshari,2025年04月27日 20:41,,1小時,Good morning FB have a sensational Blessed Sunday@highlight,False,False,0,0,0,0,222,25,https://www.threads.net/@babygirlshari/post/DI80v-0TNZ0,2025年04月27日 20:41,,0,Ch,2025-04-27 20:41:00,Sunday,20,0,False,False,False,0.5,neutral,0.8497,positive,True,False,none,4
dreamy_garnet,2025年04月28日 17:41,,5小時,就是因為會員只能一筆訂單害得大家有票就買 這波操作 絕,False,False,2,0,0,0,656,147,https://www.threads.net/@dreamy_garnet/post/DI_FBeXPFuy,2025年04月28日 17:41,,0,Ch,2025-04-28 17:41:00,Monday,17,0,False,False,False,0.826938360929489,positive,0.7873,negative,False,False,none,4
cheya.ie,2025年04月26日 22:36,,22小時,會讓INFP一直跟你分享事情代表他很喜歡你,False,False,0,0,0,0,565,0,https://www.threads.net/@cheya.ie/post/DI6dMVDSt2t,2025年04月26日 22:36,,0,Ch,2025-04-26 22:36:00,Saturday,22,0,False,False,True,0.936804562807083,positive,0.9413,positive,True,False,mixed,3
ysn_dia,2025年04月27日 03:05,,17小時,我很需要一個不管說了什麼 都推不開的人.,False,False,40,0,16,5,1237,1,https://www.threads.net/@ysn_dia/post/DI678srzouq,2025年04月27日 03:05,,0,Ch,2025-04-27 03:05:00,Sunday,3,0,False,False,True,0.228627562522888,negative,0.8109,positive,True,False,1st,0
karenobilom,2025年04月29日 08:37,,7小時,"I love when people answer ""how are you?"" honestly, bc yeah let's talk about it 🫂",False,False,230,5,37,3,4319,13877,https://www.threads.net/@karenobilom/post/DJArf5tt__h,2025年04月29日 08:37,🫂,1,Ch,2025-04-29 08:37:00,Tuesday,8,0,True,False,False,0.5,neutral,0.8214,positive,True,False,none,4
xuan._0603,2025年04月28日 12:45,,5小時,演唱會遇到最靠北的事： 錄到最喜歡的part手機跳儲存空間不足。,False,False,11,0,1,0,834,1302,https://www.threads.net/@xuan._0603/post/DI-jD-3vBSa,2025年04月28日 12:45,,0,Ch,2025-04-28 12:45:00,Monday,12,0,False,False,True,0.79048764705658,positive,0.8175,positive,True,True,none,4
