author,post_time,topic,time_info,content,has_photo,has_video,like_count,reply_count,repost_count,share_count,view_count,followers_count,post_url,scrape_time,emojis,emoji_count,lang,scrape_time_origin,post_weekday,post_hour,viral,has_question,has_exclaim
ayofvr,2025-04-29T10:58:39.000Z,,3小時,Thank you God for another day.,False,False,190,3,23,0,3197,141073,https://www.threads.net/@ayofvr/post/DJBymf8uTrK,2025年04月30日 06:27,,0,en,2025-04-30 06:27:40.176749+08:00,Wednesday,6,0,False,False
,2025-04-29T12:33:44.000Z,,1小時,百達翡麗？ 沒有下限的網路病態！,True,False,196,16,0,6,30000,77683,https://www.threads.net/@ban.mei.onnnnni/post/DJB9e47ykxw,2025年04月30日 06:27,,0,Ch,2025-04-30 06:27:54.964788+08:00,Wednesday,6,1,True,True
ribboworld2021,2025-04-29T04:39:46.000Z,小一日常,9小時,考完期中考，成績都還沒出來，小一女兒就自信的對我說：「我真羨慕妳生了一個天才！」,False,False,75,6,0,0,4559,99,https://www.threads.net/@ribboworld2021/post/DJBHPcsT8rk,2025年04月30日 06:28,,0,Ch,2025-04-30 06:28:09.873641+08:00,Wednesday,6,0,False,True
ayofvr,2025-04-29T11:25:22.000Z,,3小時,Just be strong. Confident. Hopeful. Intellectual. It’s so attractive.,False,False,83,5,3,1,1967,141093,https://www.threads.net/@ayofvr/post/DJB1qP5OmzP,2025年04月30日 06:28,,0,en,2025-04-30 06:28:24.726576+08:00,Wednesday,6,0,False,False
jose_ykc,2025-04-29T10:36:19.000Z,輔仁大學,3小時,日文輔系老師上課內容之一AiScReam 歌詞導讀,True,True,4334,55,513,2460,100000,65,https://www.threads.net/@jose_ykc/post/DJBvpGITDH3,2025年04月30日 06:28,,0,Ch,2025-04-30 06:28:39.393706+08:00,Wednesday,6,1,False,False
,2025-04-29T11:16:47.000Z,,3小時,買房子給家人住的驚喜，哥哥的話付自己的房租 一家人越來越好🥺❤️~~~,True,True,1498,10,1,8,46000,65765,https://www.threads.net/@babes.8271/post/DJB0rIPTsVq,2025年04月30日 06:28,🥺❤,2,Ch,2025-04-30 06:28:54.296376+08:00,Wednesday,6,1,False,False
,2025-04-29T11:11:51.000Z,天后闆妹,3小時,噓～讚得斯～重點整理報導🤣翻譯 udnstars #天后闆妹 4小時 天后闆妹大手筆包機豪華員旅底家！ 真的別人家的就是比較香～ 不過話說噓編的員工旅遊呢？ #天后闆妹 #員工旅遊 #釜山 #包機,True,True,74,1,0,18,7952,77683,https://www.threads.net/@ban.mei.onnnnni/post/DJB0HMkSaBg,2025年04月30日 06:29,🤣,1,Ch,2025-04-30 06:29:09.107646+08:00,Wednesday,6,0,True,True
,2025-04-29T10:11:59.000Z,#天后闆妹,4小時,天后闆妹大手筆包機豪華員旅底家！ 真的別人家的就是比較香～ 不過話說噓編的員工旅遊呢？ #天后闆妹 #員工旅遊 #釜山 #包機,True,True,288,2,2,9,56000,78794,https://www.threads.net/@udnstars/post/DJBtDjztaE5,2025年04月30日 06:29,,0,Ch,2025-04-30 06:29:23.875080+08:00,Wednesday,6,1,True,True
peiling244,2025-04-29T05:23:49.000Z,醫院趣事,9小時,剛剛去檢查抹片 醫生一插進來我就說好痛 醫生：你太乾了 ？？？？？？？ 我來看醫生沒理由亂濕欸 你倒是給我一點時間濕啊！！！！ 我真的可以很濕😭😭😭,False,False,6183,145,21,665,360000,71,https://www.threads.net/@peiling244/post/DJBMSKHp8Hf,2025年04月30日 06:29,😭😭😭,3,Ch,2025-04-30 06:29:38.737731+08:00,Wednesday,6,1,True,True
amanda_0601_,2025-04-29T10:59:06.000Z,,3小時,「你開導了所有人 卻始終開導不了自己。」,True,False,1474,2,162,66,12000,197,https://www.threads.net/@amanda_0601_/post/DJByp4zzeqI,2025年04月30日 06:29,,0,Ch,2025-04-30 06:29:53.617663+08:00,Wednesday,6,1,False,False
air_tseng,2025-04-29T11:56:07.000Z,眼鏡樓,2小時,蓋個眼鏡樓 聽說世界上會有三個人跟你長得很像的人 好像戴圓框眼鏡的都會長很像 能像伊布收集各種進化型 - 阿笠博士失憶：阿笠洗項,True,False,595,12,2,89,8290,1789,https://www.threads.net/@air_tseng/post/DJB5LcvSdzt,2025年04月30日 06:30,,0,Ch,2025-04-30 06:30:12.546471+08:00,Wednesday,6,0,False,False
purr.in.ink,2025-04-29T13:02:44.000Z,cat,1小時,🐾🤍,True,False,801,6,68,37,18000,232937,https://www.threads.net/@purr.in.ink/post/DJCAzTHspuX,2025年04月30日 06:30,🐾🤍,2,empty_after_clean,2025-04-30 06:30:27.284312+08:00,Wednesday,6,1,False,False
bb1992011,2025-04-29T13:25:34.000Z,,1小時,媽祖新鮮事，可以進香脫單喔,True,False,7,2,0,1,91,8,https://www.threads.net/@bb1992011/post/DJCDai9Bi3p,2025年04月30日 06:30,,0,Ch,2025-04-30 06:30:42.071584+08:00,Wednesday,6,0,False,False
pa0o93,2025-04-29T07:50:58.000Z,,6小時,對不起我沒忍住我騎機車笑一整路的,True,False,2950,5,15,171,45000,172,https://www.threads.net/@pa0o93/post/DJBdH64z_4w,2025年04月30日 06:30,,0,Ch,2025-04-30 06:30:56.935259+08:00,Wednesday,6,1,False,False
bradcooney1,2025-04-28T14:46:17.000Z,,23小時,😂😂😂 Who did this?,True,True,28000,1502,1096,4642,570000,103922,https://www.threads.net/@bradcooney1/post/DI_n28mRqHk,2025年04月30日 06:31,😂😂😂,3,en,2025-04-30 06:31:11.746454+08:00,Wednesday,6,1,True,False
,2025-04-27T10:02:26.000Z,,2天,HAHAHA,True,True,2505,199,432,1542,1074000,10776,https://www.threads.net/@roytumulak/post/DI8ijhTyd2M,2025年04月30日 06:31,,0,tl,2025-04-30 06:31:26.680148+08:00,Wednesday,6,1,False,False
xiao_.1123,2025-04-29T11:45:54.000Z,只有女生才懂,2小時,只有女生才懂 這含金量多高🫵,True,False,2711,11,474,359,29000,205,https://www.threads.net/@xiao_.1123/post/DJB4ApCTMjM,2025年04月30日 06:31,🫵,1,Ch,2025-04-30 06:31:41.537290+08:00,Wednesday,6,1,False,False
yyumikos,2025-04-29T11:46:13.000Z,王源,2小時,愛的號碼牌 我拿到啦！！,True,False,6,0,0,0,76,1,https://www.threads.net/@yyumikos/post/DJB4C3byTYW,2025年04月30日 06:31,,0,Ch,2025-04-30 06:31:56.277239+08:00,Wednesday,6,0,False,True
qi.__.1204,2025-04-28T14:51:00.000Z,,23小時,沒事真的都不要給我去讀設計群,True,False,2466,34,74,151,22000,200,https://www.threads.net/@qi.__.1204/post/DI_oZcZhwXw,2025年04月30日 06:32,,0,Ch,2025-04-30 06:32:12.105419+08:00,Wednesday,6,1,False,False
tingyu1224,2025-04-29T01:11:36.000Z,,13小時,進去產房15分鐘出來！老天保佑🙏平常有做好事😆,True,True,7100,127,3,47,67000,121,https://www.threads.net/@tingyu1224/post/DJAva3dzDG9,2025年04月30日 06:32,🙏😆,2,Ch,2025-04-30 06:32:27.050682+08:00,Wednesday,6,1,False,True
lcl._.0606,2025-04-29T10:18:51.000Z,,4小時,我的補習班同學：,True,False,870,4,24,29,6344,22,https://www.threads.net/@lcl._.0606/post/DJBuDBKhURu,2025年04月30日 06:32,,0,Ch,2025-04-30 06:32:41.923916+08:00,Wednesday,6,0,False,False
light_irene01,2025-04-29T14:06:09.000Z,,26分鐘,1000萬了 嗨賴這次真的太棒了🥹,True,False,16,0,0,1,117,4,https://www.threads.net/@light_irene01/post/DJCID0WymhV,2025年04月30日 06:33,🥹,1,Ch,2025-04-30 06:33:01.700348+08:00,Wednesday,6,0,False,False
maimifa,2025-04-29T13:05:58.000Z,楓之谷Artale,1小時,今天晚上的廣太瘋太好笑了 坐牢肝等/解任務突然不無趣了🙈🙈🙈🤣🤣🤣,True,False,51,13,0,13,2789,367,https://www.threads.net/@maimifa/post/DJCBLFXvVDi,2025年04月30日 06:33,🙈🙈🙈🤣🤣🤣,6,Ch,2025-04-30 06:33:16.473264+08:00,Wednesday,6,0,False,False
chichikakawow,2025-04-29T12:23:34.000Z,所得稅,2小時,看到報稅金額的我：,True,True,297,2,5,40,5367,3,https://www.threads.net/@chichikakawow/post/DJB8QfqyiL2,2025年04月30日 06:33,,0,Ch,2025-04-30 06:33:31.185148+08:00,Wednesday,6,0,False,False
gnitiyy,2025-04-29T05:34:53.000Z,,8小時,這陣子一直看到threads 上的這種文： 「你會有一份好工作、你會遇到好的主管同事……」 隨手按個like 沒想到…..🥹😍,True,False,5617,21,5,10,66000,156,https://www.threads.net/@gnitiyy/post/DJBNjM7Tn6T,2025年04月30日 06:33,🥹😍,2,Ch,2025-04-30 06:33:46.111504+08:00,Wednesday,6,1,False,False
officialbenmatias,2025-04-28T23:22:02.000Z,,15小時,"Poor baby needs a breather #benmatias #reels 4,",True,True,4718,29,489,161,32000,45543,https://www.threads.net/@officialbenmatias/post/DJAi4LJAvQF,2025年04月30日 06:34,,0,en,2025-04-30 06:34:00.961278+08:00,Wednesday,6,1,False,False
abbywang0109,2025-04-29T03:48:32.000Z,abbywang0109,10小時,現主時，在中山醫誠愛樓停車場5F有一隻小奶貓，有點怕人，必須趕上班真的沒辦法幫助牠，有沒有人有能力照顧牠🥺,True,True,2753,118,61,458,110000,7,https://www.threads.net/@abbywang0109/post/DJBBYSqv_PU,2025年04月30日 06:34,🥺,1,Ch,2025-04-30 06:34:15.737692+08:00,Wednesday,6,1,False,False
zu_jay1023,2025-04-29T03:31:27.000Z,尋寶記,11小時,現在的小朋友都不知道尋寶記有多好看,True,True,18,2,0,1,1240,80,https://www.threads.net/@zu_jay1023/post/DJA_VZPSIJr,2025年04月30日 06:34,,0,Ch,2025-04-30 06:34:30.558959+08:00,Wednesday,6,0,False,False
